category_slug,old_category_link,wp_post_count,mapped_topic,topic_confidence,new_topic_link,all_topics_breakdown
social-networking-networking-client-acquisition-marketing-client-service-lead-generation,https://www.synnovatia.com/category/social-networking-networking-client-acquisition-marketing-client-service-lead-generation/,1,People & Partnerships,100%,https://synnovatiacom.stage.site/topic/people-partnerships/,"{""People & Partnerships"": 1}"
business-skills-small-business-success-entrepreneurship,https://www.synnovatia.com/category/business-skills-small-business-success-entrepreneurship/,1,Ownership & Entrepreneurship,100%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 1}"
small-business-growth-best-practices-small-business-strategy-strategic-thinking,https://www.synnovatia.com/category/small-business-growth-best-practices-small-business-strategy-strategic-thinking/,1,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1}"
goal-achievement-performance-business-coaching,https://www.synnovatia.com/category/goal-achievement-performance-business-coaching/,1,Ownership & Entrepreneurship,100%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 1}"
small-business-growth-performance-attitude-tags-work-life-balance,https://www.synnovatia.com/category/small-business-growth-performance-attitude-tags-work-life-balance/,1,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1}"
small-business-growth-best-practices-performance-business-coaching-attitude,https://www.synnovatia.com/category/small-business-growth-best-practices-performance-business-coaching-attitude/,1,Ownership & Entrepreneurship,100%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 1}"
business-success-best-practices-business-coaching-growth-advisor,https://www.synnovatia.com/category/business-success-best-practices-business-coaching-growth-advisor/,1,Ownership & Entrepreneurship,100%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 1}"
small-business-growth-best-practices-performance-small-business-strategy-business-vision,https://www.synnovatia.com/category/small-business-growth-best-practices-performance-small-business-strategy-business-vision/,1,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1}"
best-practices-small-business-strategy-attitude,https://www.synnovatia.com/category/best-practices-small-business-strategy-attitude/,1,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1}"
happiness-at-work-business-success-small-business-strategy-business-vision,https://www.synnovatia.com/category/happiness-at-work-business-success-small-business-strategy-business-vision/,1,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1}"
small-business-strategy-growing-pains-strategic-thinking,https://www.synnovatia.com/category/small-business-strategy-growing-pains-strategic-thinking/,1,Mindset & Resilience,100%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 1}"
marketing-small-business-strategy,https://www.synnovatia.com/category/marketing-small-business-strategy/,1,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 1}"
